,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
8930,391650320053,4409.0,36.07,1211.0,66250.0,274700.0,23.0,0.0,A,0.961,2.68079800498753,66.2314109539354,0.0,,19.9245283018868,1.1
8931,391650320061,1685.0,18.48,,92426.0,168600.0,27.9,0.0,A,0.936,0.0,58.6837294332724,8.74587458745875,,,3.6
8932,391650320062,2164.0,53.74,1112.0,73661.0,256700.0,21.8,1.28,A,0.968,5.96520298260149,58.813056379822,2.04991087344029,,15.4111402234561,3.6
8933,391650320071,896.0,3.5,,62771.0,137100.0,,2.2,C,0.522,15.6818181818182,16.8039538714992,6.73854447439353,,,1.9
8934,391650320072,1262.0,16.59,876.0,54609.0,161000.0,36.2,0.0,B,0.845,0.0,26.1029411764706,6.25,,,1.9
8935,391650320073,1931.0,0.0,,78977.0,208900.0,,0.0,A,0.969,5.52486187845304,57.7380952380952,0.0,,,1.9
8936,391650320074,2578.0,73.85,979.0,66979.0,197900.0,18.7,0.39,A,0.935,0.0,59.8702001081666,0.0,,15.2644858836352,1.9
8937,391650321001,1328.0,5.79,,58788.0,173000.0,,1.25,B,0.806,0.0,22.1896383186706,3.28185328185328,,,7.4
8938,391650321002,2591.0,7.15,,118125.0,336400.0,,1.64,A,0.989,0.0,62.5954198473283,0.0,,,7.4
8939,391650321003,2493.0,33.91,840.0,40840.0,89000.0,30.9,3.17,C,0.432,11.8811881188119,17.3204586602293,21.144024514811,,18.4231145935357,7.4
8940,391650322011,2639.0,0.0,,117946.0,227500.0,,0.0,A,0.985,0.0,43.7460716530484,0.0,,,4.0
8941,391650322012,4459.0,16.97,769.0,86477.0,220600.0,30.7,0.77,A,0.926,0.0,60.5905942398833,9.48753462603878,,9.28339327219954,4.0
8942,391650322013,5964.0,13.16,1301.0,74839.0,174700.0,26.2,1.57,A,0.937,5.78139114724481,46.2113659022931,1.10470701248799,,17.2049332567244,4.0
8943,391650322014,6971.0,9.08,1337.0,90083.0,187800.0,50.0,1.03,A,0.969,2.21789883268483,51.2299465240642,0.0410677618069815,,14.6131900580576,4.0
8944,391650322021,2830.0,2.48,,135641.0,278000.0,,0.0,A,0.990,1.20192307692308,65.6090651558074,0.0,,,2.4
8945,391650322022,1656.0,21.99,681.0,65583.0,195000.0,23.0,0.0,B,0.836,5.36912751677852,45.3242835595777,5.1063829787234,,8.91084579845387,2.4
8946,391650322023,960.0,9.28,,76136.0,204400.0,,1.96,B,0.878,10.455764075067,26.8292682926829,2.69461077844311,,,2.4
8947,391650323001,838.0,32.64,692.0,64792.0,191800.0,18.3,0.0,C,0.648,16.4251207729469,25.7698541329011,0.0,,9.11223607852821,3.3
8948,391650323002,1135.0,37.56,692.0,40114.0,119800.0,25.6,1.68,C,0.410,6.69642857142857,13.1728045325779,24.4019138755981,,16.0642169816024,3.3
8949,391650323003,1128.0,24.64,771.0,51563.0,106500.0,38.7,0.58,C,0.519,6.43015521064302,6.91299165673421,7.58293838862559,,14.6849485095902,3.3
8950,391650323004,1480.0,5.56,,65227.0,185000.0,,0.0,B,0.873,0.931098696461825,32.7049952874647,2.4904214559387,,,3.3
8951,391650324001,1705.0,1.62,,79259.0,166700.0,,0.0,B,0.862,3.28638497652582,28.4339457567804,4.20711974110032,,,6.2
8952,391650324002,2093.0,20.18,1089.0,64559.0,171700.0,19.9,0.0,B,0.850,8.04911323328786,24.4257274119449,10.5341246290801,,14.9816446970988,6.2
8953,391650324003,1098.0,15.9,867.0,83594.0,139700.0,21.4,0.0,B,0.816,4.1343669250646,27.6166456494325,5.66037735849057,,7.73739742086753,6.2
8954,391650325011,1032.0,33.06,953.0,48603.0,89800.0,28.0,6.25,C,0.394,4.12371134020619,4.23197492163009,22.8494623655914,,16.9372260971545,6.8
8955,391650325012,2008.0,7.83,1108.0,75313.0,130000.0,50.0,0.0,B,0.844,3.11653116531165,28.5389856169569,2.0979020979021,,11.7429925776426,6.8
8956,391650325013,562.0,42.37,528.0,32500.0,108400.0,39.7,4.52,D,0.137,23.3918128654971,5.16431924882629,22.5190839694656,,14.3630769230769,6.8
8957,391650325021,1418.0,59.05,708.0,27935.0,59400.0,30.0,7.06,D,0.096,6.87732342007435,3.11332503113325,36.8534482758621,,23.4114909611598,9.4
8958,391650325022,1671.0,77.59,857.0,39671.0,97600.0,28.2,4.04,C,0.477,5.0531914893617,1.64233576642336,15.9663865546218,,22.3236117062842,9.4
8959,391650325023,1171.0,49.75,767.0,45195.0,85300.0,32.0,4.52,C,0.539,2.58481421647819,6.96774193548387,8.29187396351576,,16.754065715234,9.4
